,camera_id,filename,image_object_ct,image_object_ct_c,image_object_ct_l,image_object_ct_lr,image_object_ct_r,image_std,timestamp
185,590,1447401016_cctv590.jpg,1,4,4,14,12,0.115351745747,1447401016
186,592,1447401016_cctv592.jpg,4,14,14,25,15,0.0897362376357,1447401016
187,593,1447401016_cctv593.jpg,3,5,5,10,6,0.0961124014109,1447401016
188,594,1447401016_cctv594.jpg,5,10,10,19,10,0.120401417011,1447401016
189,589,1447402817_cctv589.jpg,5,12,12,18,9,0.142955667182,1447402817
190,590,1447402817_cctv590.jpg,1,4,4,16,14,0.115499039657,1447402817
191,592,1447402817_cctv592.jpg,5,8,8,17,12,0.0989854622343,1447402817
192,593,1447402817_cctv593.jpg,4,6,6,9,6,0.0801567830139,1447402817
193,594,1447402817_cctv594.jpg,5,6,6,16,11,0.151341318153,1447402817
194,589,1447404620_cctv589.jpg,11,18,18,27,16,0.175300010993,1447404620
195,590,1447404620_cctv590.jpg,1,11,11,18,8,0.150037028371,1447404620
196,592,1447404620_cctv592.jpg,7,10,10,19,15,0.0970314762286,1447404620
197,593,1447404620_cctv593.jpg,7,5,5,9,5,0.181311448869,1447404620
198,594,1447404620_cctv594.jpg,6,5,5,12,8,0.122598290553,1447404620
199,589,1447406421_cctv589.jpg,8,13,13,26,16,0.12121847184,1447406421
200,590,1447406421_cctv590.jpg,2,5,5,14,11,0.0990164538339,1447406421
201,592,1447406421_cctv592.jpg,4,11,11,17,9,0.0853428544352,1447406421
202,593,1447406421_cctv593.jpg,5,5,5,14,11,0.107654719331,1447406421
203,594,1447406421_cctv594.jpg,9,4,4,13,11,0.176410551283,1447406421
204,589,1447408221_cctv589.jpg,5,10,10,16,12,0.129972679071,1447408221
205,590,1447408221_cctv590.jpg,4,12,12,27,17,0.0942212741764,1447408221
206,592,1447408221_cctv592.jpg,7,10,10,23,16,0.104646885672,1447408221
207,593,1447408221_cctv593.jpg,6,7,7,11,7,0.0570501593344,1447408221
208,594,1447408221_cctv594.jpg,5,6,6,18,11,0.148170207444,1447408221
209,589,1447410024_cctv589.jpg,8,13,13,25,14,0.108882902072,1447410024
210,590,1447410024_cctv590.jpg,5,6,6,14,11,0.1526415921,1447410024
211,592,1447410024_cctv592.jpg,14,12,12,24,11,0.136459440055,1447410024
212,593,1447410024_cctv593.jpg,5,3,3,7,5,0.141050767009,1447410024
213,594,1447410024_cctv594.jpg,10,6,6,18,13,0.132063122322,1447410024
214,589,1447411825_cctv589.jpg,24,20,20,35,27,0.213566385992,1447411825
215,590,1447411825_cctv590.jpg,10,12,12,17,10,0.14887321252,1447411825
216,592,1447411825_cctv592.jpg,17,20,20,29,17,0.18900100772,1447411825
217,593,1447411825_cctv593.jpg,21,12,12,31,20,0.221892863026,1447411825
218,594,1447411825_cctv594.jpg,7,3,3,8,7,0.164009603998,1447411825
219,589,1447413625_cctv589.jpg,47,25,25,69,50,0.263754594348,1447413625
220,590,1447413625_cctv590.jpg,11,9,9,19,11,0.0391557611516,1447413625
221,592,1447413625_cctv592.jpg,22,15,15,36,23,0.194298689666,1447413625
222,593,1447413625_cctv593.jpg,24,24,24,43,27,0.209696579547,1447413625
223,594,1447413625_cctv594.jpg,6,1,1,8,8,0.112800430453,1447413625
224,589,1447415426_cctv589.jpg,26,30,30,45,26,0.29157898138,1447415426
225,590,1447415426_cctv590.jpg,13,12,12,21,13,0.0911327542556,1447415426
226,592,1447415426_cctv592.jpg,24,28,28,45,29,0.245856792793,1447415426
